Image Name,Raw Output (All Detected Words),Number Plates,Confidence Score
number_plate\444R104022602083_np.jpg,IND TG 08 D 8599,TG 08 D 8599,77.21%
number_plate\444R104022602084_np.jpg,TS 16 | Z0294,TS 16 Z0294,99.61%
number_plate\444R104022602085_np.jpg,TS07GA6059,TS07GA6059,93.44%
number_plate\444R104022602086_np.jpg,TS07GT2501,TS07GT2501,65.29%
number_plate\444R104022602087_np.jpg,TG16Z | 0106,TG16Z 0106,99.3%
number_plate\444R104022602088_np.jpg,NO | TS08GS9912,TS08GS9912,76.93%
number_plate\444R104022602089_np.jpg,IND TS09UE396,TS09UE396,75.62%
number_plate\444R104022602090_np.jpg,NL01A | H8420,NL01A H8420,95.51%
number_plate\444R104022602092_np.jpg,TS.O8UG | 7511,TS08UG 7511,95.04%
number_plate\444R104022602094_np.jpg,"""TG IND 10 B 0699",None detected,N/A
number_plate\444R104022602095_np.jpg,NO | TS08 JX4468,TS08 JX4468,97.79%
number_plate\444R104022602096_np.jpg,AP05CH2525,AP05CH2525,93.81%
number_plate\444R104022602097_np.jpg,AP11 AH 7166,AP11 AH 7166,95.07%
number_plate\444R104022602098_np.jpg,IND TS15FD0009,TS15FD0009,94.66%
number_plate\444R104022602099_np.jpg,TS08GG3728,TS08GG3728,69.07%
number_plate\444R104022602100_np.jpg,IND | GD2430 | 6,None detected,N/A
number_plate\444R104022602101_np.jpg,AP28T07284,None detected,N/A
number_plate\444R104022602102_np.jpg,TS 02U | F 4086,None detected,N/A
number_plate\444R104022602103_np.jpg,TS08HX 1678,TS08HX 1678,88.98%
number_plate\444R104022602104_np.jpg,TS17 E 5640,None detected,N/A
number_plate\444R104022602105_np.jpg,TS 36 J 9559,TS 36 J 9559,91.42%
number_plate\444R104022602106_np.jpg,TS07KA4678,TS07KA4678,94.89%
number_plate\444R104022602107_np.jpg,,None detected,N/A
number_plate\444R104022602108_np.jpg,IND TG 35 7886,None detected,N/A
number_plate\444R104022602109_np.jpg,TS09F01575,None detected,N/A
number_plate\444R104022602110_np.jpg,AP 29 | V 2142,AP 29 V 2142,94.58%
number_plate\444R104022602111_np.jpg,TS07JA4599,TS07JA4599,68.63%
number_plate\444R104022602113_np.jpg,"""TS10FD3484",TS10FD3484,67.05%
number_plate\444R104022602114_np.jpg,HIRE,None detected,N/A
number_plate\444R104022602115_np.jpg,NO | TS 35F 4041,TS 35F 4041,99.53%
number_plate\444R104022602116_np.jpg,TN 70 | TC | -,None detected,N/A
number_plate\444R104022602118_np.jpg,IND | TS08FG2657,TS08FG2657,94.51%
number_plate\444R104022602119_np.jpg,Ao | TS08FL3389,TS08FL3389,97.23%
number_plate\444R104022602120_np.jpg,,None detected,N/A
number_plate\444R104022602121_np.jpg,,None detected,N/A
number_plate\444R104022602122_np.jpg,"""TS07JK8643",TS07JK8643,62.45%
number_plate\444R104022602123_np.jpg,IND | TS09FN1876,TS09FN1876,94.67%
number_plate\444R104022602124_np.jpg,ABOSI | 15628,None detected,N/A
number_plate\444R104022602125_np.jpg,,None detected,N/A
number_plate\444R104022602126_np.jpg,NO TG 08 T 5394,TG 08 T 5394,88.37%
number_plate\444R104022602127_np.jpg,B | MK 38A | K1444,None detected,N/A
number_plate\444R104022602128_np.jpg,TS08 JR2726,TS08 JR2726,98.72%
number_plate\444R104022602129_np.jpg,U1193,None detected,N/A
number_plate\444R104022602130_np.jpg,IND TG 09 D 4267,TG 09 D 4267,96.09%
number_plate\444R104022602131_np.jpg,AP39 | Y4470- ),None detected,N/A
number_plate\444R104022602133_np.jpg,TS10ER4227,TS10ER4227,94.61%
number_plate\444R104022602134_np.jpg,(ND) TS 16EG9716,TS 16EG9716,73.01%
number_plate\444R104022602135_np.jpg,TG 08 E 9117,TG 08 E 9117,96.47%
number_plate\444R104022602136_np.jpg,AP36 AL 3887,AP36 AL 3887,98.29%
number_plate\444R104022602138_np.jpg,. | TS 16 | 1543 | Z0311,TS 16 Z0311,98.96%
number_plate\444R104022602140_np.jpg,TG0965106,None detected,N/A
number_plate\444R104022602141_np.jpg,If | AP 10BA4575,AP 10BA4575,94.13%
number_plate\444R104022602142_np.jpg,TS08GR1155,TS08GR1155,80.38%
number_plate\444R104022602143_np.jpg,INC | TS07GJ6688,TS07GJ6688,93.69%
number_plate\444R104022602144_np.jpg,AP 11 AP 8226,AP 11 AP 8226,99.18%
number_plate\444R104022602145_np.jpg,TS26 E 1111,TS26 E 1111,92.58%
number_plate\444R104022602146_np.jpg,TS08HE3899,None detected,N/A
number_plate\444R104022602147_np.jpg,TS 08 | UB7288,TS 08 UB7288,98.27%
number_plate\444R104022602149_np.jpg,TG35 T 2885,TG35 T 2885,89.46%
number_plate\444R104022602151_np.jpg,AP 16 F J6249,AP 16 F J6249,95.64%
number_plate\444R104022602152_np.jpg,HR73B | 9259,HR73B 9259,98.65%
number_plate\444R104022602154_np.jpg,TS08JL4114,TS08JL4114,72.6%
number_plate\444R104022602155_np.jpg,TS10F A4680,TS10F A4680,97.2%
number_plate\444R104022602156_np.jpg,"""TS08KC2538",TS08KC2538,74.25%
number_plate\444R104022602157_np.jpg,TG17 T 1574,TG17 T 1574,82.4%
number_plate\444R104022602158_np.jpg,TS 17 K 0001,TS 17 K 0001,84.03%
number_plate\444R104022602159_np.jpg,TSDB KA 0003,TS08 KA 0003,80.07%
number_plate\444R104022602160_np.jpg,TS12 UD 3364,TS12 UD 3364,92.96%
number_plate\444R104022602161_np.jpg,TS12 U-D 3364,TS12 UD 3364,88.0%
number_plate\444R104022602162_np.jpg,,None detected,N/A
number_plate\444R104022602163_np.jpg,,None detected,N/A
number_plate\444R104022602164_np.jpg,GJ18B | V5038,GJ18B V5038,97.55%
number_plate\444R104022602166_np.jpg,TS13 FB 1534,TS13 FB 1534,99.53%
number_plate\444R104022602167_np.jpg,AP29 BP 2496,AP29 BP 2496,99.77%
number_plate\444R104022602168_np.jpg,"IND | ""TS16EA3336",TS16EA3336,92.4%
number_plate\444R104022602169_np.jpg,IND TG 01 6789,None detected,N/A
number_plate\444R104022602170_np.jpg,KA53A | 2 | B5735,KA53A B5735,86.13%
number_plate\444R104022602171_np.jpg,TS09FE7661,TS09FE7661,70.82%
number_plate\444R104022602172_np.jpg,IF | RJ32 | GD8065,RJ32 GD8065,99.77%
number_plate\444R104022602174_np.jpg,NO TG 17 4842,None detected,N/A
number_plate\444R104022602175_np.jpg,TSOB JX 4477,TS08 JX 4477,94.62%
number_plate\444R104022602176_np.jpg,TS07HW1099,TS07HW1099,65.13%
number_plate\444R104022602177_np.jpg,TS 08UJ0793,TS 08UJ0793,97.31%
number_plate\444R104022602178_np.jpg,KA41 | D5723,KA41 D5723,95.82%
number_plate\444R104022602180_np.jpg,8 | TS 36 T 1330,TS 36 T 1330,91.31%
number_plate\444R104022602181_np.jpg,IND TS13EJ0808,TS13EJ0808,92.77%
number_plate\444R104022602182_np.jpg,TS08FW6861,TS08FW6861,76.5%
number_plate\444R104022602183_np.jpg,NO TG16 T 2239,TG16 T 2239,86.83%
number_plate\444R104022602184_np.jpg,AP 29 AT 6039,AP 29 AT 6039,99.49%
